agent_id	 startSearchTime	 parkTime	 searchTime	 distanceToDestination	 parkingLotId
4646#-1060247964441127406	 295	 311	 16	 4.643934e+001	 sp-38_b
4747#-4569129545018545001	 328	 344	 16	 4.643934e+001	 sp-40_b
4848#-6208196166624579395	 302	 349	 47	 4.643934e+001	 sp-62_b
4949#-6420306461251840051	 340	 424	 84	 5.358076e+001	 sp-38_a
5050#8800986407050212300	 317	 359	 42	 4.643934e+001	 sp-62_b
5151#5697623811408775905	 350	 378	 28	 5.358076e+001	 sp-38_a
5252#5843239849800614963	 324	 341	 17	 4.643934e+001	 sp-38_b
5353#6069761778908371917	 357	 416	 59	 1.111603e+002	 sp-44_b
5454#999348692631028709	 316	 365	 49	 1.111603e+002	 sp-58_b
5555#-804966323657862521	 369	 426	 57	 5.358076e+001	 sp-38_a
5656#-4122159765200575343	 346	 361	 15	 4.643934e+001	 sp-62_b
5757#-4260770968927425188	 380	 408	 28	 1.464320e+002	 sp-18_b
5858#-8273594332670458482	 355	 385	 30	 1.093463e+002	 sp-66_b
5959#-7372858950507866567	 392	 418	 26	 1.093463e+002	 sp-66_b
6060#6517182967342715655	 370	 395	 25	 1.093463e+002	 sp-36_b
6161#-1169974885911983592	 396	 428	 32	 1.111603e+002	 sp-44_b
6262#3061378322073152987	 373	 405	 32	 1.111603e+002	 sp-44_b
6363#-4176303898674967817	 405	 466	 61	 5.358076e+001	 sp-38_a
6464#7798720702533809390	 376	 415	 39	 1.111603e+002	 sp-58_b
6565#-7936165588958396220	 418	 476	 58	 1.111603e+002	 sp-58_b
6666#-8861359143129307396	 378	 425	 47	 5.358076e+001	 sp-62_a
6767#6473099493805709195	 432	 458	 26	 1.464320e+002	 sp-18_b
6868#35219506414991930	 394	 407	 13	 1.111603e+002	 sp-16_b
6969#-4871809250294802560	 442	 468	 26	 5.358076e+001	 sp-62_a
7070#-2470618445958058801	 401	 445	 44	 1.111603e+002	 sp-16_b
7171#-7785599159973802654	 431	 436	 5	 1.143280e+002	 sp-66_a
7272#-6177600651832758627	 428	 455	 27	 5.358076e+001	 sp-62_a
7373#6174190290283724317	 455	 516	 61	 1.093463e+002	 sp-60_b
7474#-131490988232655152	 427	 437	 10	 1.093463e+002	 sp-20_b
7575#7220541710838155289	 453	 456	 3	 1.143280e+002	 sp-66_a
7676#-2974158268268123922	 447	 503	 56	 5.358076e+001	 sp-62_a
7777#5726301324027454552	 476	 564	 88	 1.111603e+002	 sp-64_b
7878#-4937981485050612080	 443	 485	 42	 5.358076e+001	 sp-38_a
7979#-6491118945029333448	 493	 518	 25	 1.111603e+002	 sp-44_b
8080#7646941323335331625	 470	 495	 25	 5.358076e+001	 sp-38_a
8181#7468670505228193523	 483	 486	 3	 1.143280e+002	 sp-66_a
8282#3556582843686189550	 478	 505	 27	 1.093463e+002	 sp-66_b
8383#3589829971803900349	 489	 510	 21	 2.080166e+002	 sp-70_b
8484#-7680702870776524227	 483	 627	 144	 1.111603e+002	 sp-16_b
8585#3926320908781154364	 522	 548	 26	 1.111603e+002	 sp-64_b
8686#-7268066037539311054	 494	 651	 157	 1.125651e+002	 sp-44_a
8787#-5978931114985849056	 533	 559	 26	 1.535747e+002	 sp-46
8888#2043351896747706293	 504	 535	 31	 5.358076e+001	 sp-62_a
8989#-1981901537722229216	 539	 568	 29	 1.111603e+002	 sp-16_b
9090#-7596193424705443116	 496	 517	 21	 1.093463e+002	 sp-20_b
9191#7697808735195481941	 548	 676	 128	 1.125651e+002	 sp-44_a
9292#9179428668027386580	 525	 555	 30	 5.358076e+001	 sp-62_a
9393#6991737377964053101	 563	 616	 53	 1.111603e+002	 sp-44_b
9494#-365713489521437875	 534	 565	 31	 1.111603e+002	 sp-16_b
9595#-1469375312698613504	 567	 682	 115	 1.111603e+002	 sp-58_b
9696#-3248040388232162198	 533	 547	 14	 1.093463e+002	 sp-20_b
9797#3284360270291100575	 567	 608	 41	 1.111603e+002	 sp-58_b
9898#-9204264813165127766	 559	 655	 96	 1.143280e+002	 sp-20_a
9999#7438164244255532619	 593	 618	 25	 1.111603e+002	 sp-58_b
