agent_id	 startSearchTime	 parkTime	 searchTime	 distanceToDestination	 parkingLotId
4646#-1060247964441127406	 295	 297	 2	 5.358076e+001	 sp-40_a
4747#-4569129545018545001	 328	 372	 44	 4.643934e+001	 sp-38_b
4848#-6208196166624579395	 302	 321	 19	 4.643934e+001	 sp-40_b
4949#-6420306461251840051	 340	 368	 28	 1.111603e+002	 sp-44_b
5050#8800986407050212300	 317	 331	 14	 4.643934e+001	 sp-40_b
5151#5697623811408775905	 350	 364	 14	 4.643934e+001	 sp-40_b
5252#5843239849800614963	 324	 341	 17	 4.643934e+001	 sp-38_b
5353#6069761778908371917	 357	 444	 87	 5.358076e+001	 sp-38_a
5454#999348692631028709	 316	 393	 77	 1.111603e+002	 sp-16_b
5555#-804966323657862521	 369	 398	 29	 1.093463e+002	 sp-36_b
5656#-4122159765200575343	 346	 361	 15	 4.643934e+001	 sp-38_b
5757#-4260770968927425188	 380	 408	 28	 1.093463e+002	 sp-36_b
5858#-8273594332670458482	 355	 371	 16	 4.643934e+001	 sp-40_b
5959#-7372858950507866567	 392	 446	 54	 1.111603e+002	 sp-16_b
6060#6517182967342715655	 370	 395	 25	 1.093463e+002	 sp-20_b
6161#-1169974885911983592	 396	 456	 60	 5.358076e+001	 sp-38_a
6262#3061378322073152987	 373	 405	 32	 1.093463e+002	 sp-66_b
6363#-4176303898674967817	 405	 438	 33	 1.111603e+002	 sp-58_b
6464#7798720702533809390	 376	 443	 67	 1.093463e+002	 sp-20_b
6565#-7936165588958396220	 418	 448	 30	 1.111603e+002	 sp-16_b
6666#-8861359143129307396	 378	 397	 19	 1.111603e+002	 sp-16_b
6767#6473099493805709195	 432	 458	 26	 1.111603e+002	 sp-44_b
6868#35219506414991930	 394	 463	 69	 1.111603e+002	 sp-58_b
6969#-4871809250294802560	 442	 468	 26	 1.111603e+002	 sp-44_b
7070#-2470618445958058801	 401	 417	 16	 1.111603e+002	 sp-16_b
7171#-7785599159973802654	 431	 436	 5	 1.143280e+002	 sp-66_a
7272#-6177600651832758627	 428	 441	 13	 4.643934e+001	 sp-62_b
7373#6174190290283724317	 455	 488	 33	 1.111603e+002	 sp-44_b
7474#-131490988232655152	 427	 437	 10	 1.111603e+002	 sp-16_b
7575#7220541710838155289	 453	 456	 3	 1.143280e+002	 sp-66_a
7676#-2974158268268123922	 447	 531	 84	 1.111603e+002	 sp-44_b
7777#5726301324027454552	 476	 536	 60	 1.111603e+002	 sp-44_b
7878#-4937981485050612080	 443	 457	 14	 1.111603e+002	 sp-16_b
7979#-6491118945029333448	 493	 518	 25	 1.093463e+002	 sp-66_b
8080#7646941323335331625	 470	 495	 25	 1.093463e+002	 sp-20_b
8181#7468670505228193523	 483	 486	 3	 1.143280e+002	 sp-66_a
8282#3556582843686189550	 478	 505	 27	 1.111603e+002	 sp-58_b
8383#3589829971803900349	 489	 496	 7	 1.143280e+002	 sp-66_a
8484#-7680702870776524227	 483	 515	 32	 5.358076e+001	 sp-38_a
8585#3926320908781154364	 522	 548	 26	 1.111603e+002	 sp-44_b
8686#-7268066037539311054	 494	 511	 17	 4.643934e+001	 sp-62_b
8787#-5978931114985849056	 533	 558	 25	 1.093463e+002	 sp-20_b
8888#2043351896747706293	 504	 535	 31	 5.358076e+001	 sp-38_a
8989#-1981901537722229216	 539	 582	 43	 1.125651e+002	 sp-44_a
9090#-7596193424705443116	 496	 503	 7	 1.143280e+002	 sp-36_a
9191#7697808735195481941	 548	 578	 30	 5.358076e+001	 sp-62_a
9292#9179428668027386580	 525	 555	 30	 1.093463e+002	 sp-20_b
9393#6991737377964053101	 563	 588	 25	 5.358076e+001	 sp-62_a
9494#-365713489521437875	 534	 551	 17	 4.643934e+001	 sp-62_b
9595#-1469375312698613504	 567	 598	 31	 5.358076e+001	 sp-62_a
9696#-3248040388232162198	 533	 575	 42	 5.358076e+001	 sp-62_a
9797#3284360270291100575	 567	 608	 41	 5.358076e+001	 sp-38_a
9898#-9204264813165127766	 559	 585	 26	 1.111603e+002	 sp-64_b
9999#7438164244255532619	 593	 660	 67	 1.125651e+002	 sp-44_a
